,,,, litres of water/ kg or litres of food commodity,,,,,,,,,,,,,,,,
FOOD COMMODITY GROUP,FOOD COMMODITY TYPOLOGY,FOOD COMMODITY sub-TYPOLOGY,FOOD COMMODITY ITEM,n,mean,median,st.dev,min,max,MAD,Q1,Q3,CV,skewness,kurtosis,Shapiro Wilk test P,FLAG 1 (SIZE),FLAG 2 (outlier),FLAG 3 (adherence to the normal distribution),Suggested CF value to represent food commodity
AGRICULTURAL PROCESSED,BEER*,-,BEER*,3,166,155,104,45,298,110,100,227,0.6,0.158,1.500,0.856,R,n.a,R,item matching typology
AGRICULTURAL PROCESSED,BISCUITS,-,CHOCOLATE OR CREAM FILLED COOKIES**,8,2895,2902,568,2083,3589,569,2503,3451,0.2,-0.214,1.532,0.240,Y,G,G,ok item
AGRICULTURAL PROCESSED,BISCUITS,-,SIMPLE COOKIES**,12,1684,1724,336,1167,2502,122,1533,1791,0.2,0.659,3.761,0.258,G,G,G,ok item
AGRICULTURAL PROCESSED,BREAD,-,BREAD,5,1003,667,497,517,1608,150,613,1608,0.5,0.379,1.184,0.432,G*,G,G,ok item
AGRICULTURAL PROCESSED,BREAD,-,BREAD MULTICEREAL**,2,771,771,212,559,983,212,665,877,0.3,0.000,1.000,n.a,R,G,R,typology
AGRICULTURAL PROCESSED,BREAD,-,BREAD PLAIN**,7,995,1031,268,601,1387,195,785,1188,0.3,-0.156,1.734,0.785,Y,G,G,ok item
AGRICULTURAL PROCESSED,BREAD,-,BREAD WHOLE**,5,851,887,193,544,1140,101,787,900,0.2,-0.143,2.307,0.849,Y,G,G,ok item
AGRICULTURAL PROCESSED,BREAKFAST CEREALS,-,BARLEY FLAKES,1,1977,1977,-,1977,1977,-,1977,1977,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,BREAKFAST CEREALS,-,OAT FLAKES,1,2416,2416,-,2416,2416,-,2416,2416,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,COCOA DERIVATES,-,CHOCOLATE,1,17196,17196,-,17196,17196,-,17196,17196,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,COCOA DERIVATES,-,COCOA BUTTER,1,33938,33938,-,33938,33938,-,33938,33938,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,COCOA DERIVATES,-,COCOA PASTE,1,24238,24238,-,24238,24238,-,24238,24238,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,COCOA DERIVATES,-,COCOA POWDER,2,15618,15618,18,15600,15636,18,15609,15627,0.0,0.000,1.000,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,COFFEE GROUND & PARCHMENT* (coffee roasted),-,COFFEE ROASTED,2,19956,19956,1031,18925,20987,1031,19441,20472,0.1,0.000,1.000,n.a,R,n.a,R,item matching typology
AGRICULTURAL PROCESSED,COFFEE LIQUID,-,COFFEE SOLUBLE,1,640,640,-,640,640,-,640,640,-,-,-,n.a,R,G,R,typology
AGRICULTURAL PROCESSED,COFFEE LIQUID,-,COFFEE STANDARD,1,1120,1120,-,1120,1120,-,1120,1120,-,-,-,n.a,R,G,R,typology
AGRICULTURAL PROCESSED,COFFEE LIQUID,-,COFFEE STRONG,1,1600,1600,-,1600,1600,-,1600,1600,-,-,-,n.a,R,G,R,typology
AGRICULTURAL PROCESSED,COFFEE LIQUID,-,COFFEE WEAK,1,800,800,-,800,800,-,800,800,-,-,-,n.a,R,G,R,typology
AGRICULTURAL PROCESSED,CRACKERS,-,FLAVORED CRACKERS**,4,1429,1378,168,1258,1701,83,1314,1493,0.1,0.756,2.027,0.470,Y,G,G,ok item
AGRICULTURAL PROCESSED,CRACKERS,-,PLAIN CRACKERS**,8,1488,1448,202,1183,1933,74,1395,1546,0.1,0.877,3.617,0.259,Y,G,G,ok item
AGRICULTURAL PROCESSED,CRACKERS,-,WHOLEGRAIN CRACKERS**,17,833,617,482,389,2107,194,561,1004,0.6,1.286,3.577,0.002,G,G,R,ok item
AGRICULTURAL PROCESSED,CRISPBREAD**,-,CRISPBREAD**,6,1458,1423,176,1264,1764,129,1314,1554,0.1,0.530,1.942,0.442,Y,n.a,G,item matching typology
AGRICULTURAL PROCESSED,DRESSING,-,KETCHUP,1,534,534,-,534,534,-,534,534,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,DRESSING,-,SOY PASTE,1,572,572,-,572,572,-,572,572,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,DRESSING,-,SOY SAUCE,1,613,613,-,613,613,-,613,613,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,EGG PASTA*,-,EGG PASTA*,2,4637,4637,1,4636,4638,1,4636,4637,0.0,0.000,1.000,n.a,R,n.a,R,item matching typology
AGRICULTURAL PROCESSED,GRAIN FLOUR,-,MAIZE FLOUR & MEAL,2,1167,1167,86,1081,1253,86,1124,1210,0.1,0.000,1.000,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,GRAIN FLOUR,-,OAT MEAL,1,2536,2536,-,2536,2536,-,2536,2536,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,GRAIN FLOUR,-,RICE FLOUR & MEAL,2,2429,2429,199,2230,2628,199,2330,2529,0.1,0.000,1.000,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,GRAIN FLOUR,-,RYE FLOUR,1,1930,1930,-,1930,1930,-,1930,1930,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,GRAIN FLOUR,-,WHEAT FLOUR,1,1849,1849,-,1849,1849,-,1849,1849,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,JUICE,-,APPLE JUICE,2,1141,1141,1,1140,1141,1,1140,1141,0.0,0.000,1.000,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,JUICE,-,GRAPEFRUIT JUICE,1,675,675,-,675,675,-,675,675,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,JUICE,-,ORANGE JUICE,2,1019,1019,1,1018,1020,1,1019,1020,0.0,0.000,1.000,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,JUICE,-,PINEAPPLE JUICE,1,1273,1273,-,1273,1273,-,1273,1273,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,JUICE,-,TOMATO JUICE,1,267,267,-,267,267,-,267,267,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,JUICE CONCENTRATED* (tomato),-,TOMATO JUICE CONCENTRATED*,1,1069,1069,-,1069,1069,-,1069,1069,-,-,-,n.a,G*,n.a,R,item matching typology
AGRICULTURAL PROCESSED,LEGUME FLOUR,-,SOYBEAN FLOUR,1,2523,2523,-,2523,2523,-,2523,2523,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,MARGARINE*,-,MARGARINE*,1,1324,1324,-,1324,1324,-,1324,1324,-,-,-,n.a,G*,n.a,R,item matching typology
AGRICULTURAL PROCESSED,OIL,-,COCONUT OIL,1,4490,4490,-,4490,4490,-,4490,4490,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,OIL,-,LINSEED OIL,1,9415,9415,-,9415,9415,-,9415,9415,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,OIL,-,MAIZE OIL,1,2575,2575,-,2575,2575,-,2575,2575,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,OIL,-,OLIVE OIL,2,14416,14416,16,14400,14431,16,14408,14423,0.0,0.000,1.000,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,OIL,-,OLIVE OIL REFINED,1,14726,14726,-,14726,14726,-,14726,14726,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,OIL,-,PALM OIL,1,4971,4971,-,4971,4971,-,4971,4971,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,OIL,-,PEANUT OIL,1,7529,7529,-,7529,7529,-,7529,7529,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,OIL,-,RAPESEED OIL,1,4301,4301,-,4301,4301,-,4301,4301,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,OIL,-,SESAM OIL,1,21793,21793,-,21793,21793,-,21793,21793,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,OIL,-,SOYBEAN OIL,1,4190,4190,-,4190,4190,-,4190,4190,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,OIL,-,SUNFLOWER OIL,1,6792,6792,-,6792,6792,-,6792,6792,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,PASTA*,-,PASTA*,30,1651,1509,419,590,2517,181,1372,1957,0.3,0.196,3.008,0.036,G,n.a,Y,item matching typology
AGRICULTURAL PROCESSED,PESTO,-,PESTO,2,2099,2099,0,2099,2099,0,2099,2099,0.0,0.000,1.000,n.a,R,G,R,typology
AGRICULTURAL PROCESSED,PESTO,-,PESTO WITHOUT GARLIC,1,2249,2249,-,2249,2249,-,2249,2249,-,-,-,n.a,R,G,R,typology
AGRICULTURAL PROCESSED,"PROCESSED GRAINS (grouts, malt)",-,MAIZE GROATS,1,1081,1081,-,1081,1081,-,1081,1081,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,"PROCESSED GRAINS (grouts, malt)",-,"MAIZE HULLED, PEARLED, SLICED OR KIBBLED",1,1314,1314,-,1314,1314,-,1314,1314,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,"PROCESSED GRAINS (grouts, malt)",-,MALT,1,1950,1950,-,1950,1950,-,1950,1950,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,"PROCESSED GRAINS (grouts, malt)",-,"MALT, ROASTED",1,2437,2437,-,2437,2437,-,2437,2437,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,"PROCESSED GRAINS (grouts, malt)",-,OAT GROATS,1,2536,2536,-,2536,2536,-,2536,2536,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,"PROCESSED GRAINS (grouts, malt)",-,RICE GROATS,1,2230,2230,-,2230,2230,-,2230,2230,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,"PROCESSED GRAINS (grouts, malt)",-,WHEAT GLUTEN,1,4189,4189,-,4189,4189,-,4189,4189,-,-,-,n.a,G*,R,R,ok item
AGRICULTURAL PROCESSED,"PROCESSED GRAINS (grouts, malt)",-,WHEAT PELLETS,1,2036,2036,-,2036,2036,-,2036,2036,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,STARCH,-,MAIZE STARCH,1,1671,1671,-,1671,1671,-,1671,1671,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,STARCH,-,MANIOC (CASSAVA) STARCH,1,2254,2254,-,2254,2254,-,2254,2254,-,-,-,n.a,G*,R,R,ok item
AGRICULTURAL PROCESSED,STARCH,-,POTATO STARCH,1,1512,1512,-,1512,1512,-,1512,1512,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,STARCH,-,WHEAT STARCH,1,1436,1436,-,1436,1436,-,1436,1436,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,STARCHY ROOT FLOUR,-,CASSAVA FLOUR,1,1878,1878,-,1878,1878,-,1878,1878,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,STARCHY ROOT FLOUR,-,POTATO FLOUR & MEAL,1,1436,1436,-,1436,1436,-,1436,1436,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,STARCHY TUBER,-,DRIED CASSAVA,1,1610,1610,-,1610,1610,-,1610,1610,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,STARCHY TUBER,-,POTATO FLAKES,1,1044,1044,-,1044,1044,-,1044,1044,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,STARCHY TUBER,-,TAPIOCA OF CASSAVA,1,2818,2818,-,2818,2818,-,2818,2818,-,-,-,n.a,G*,R,R,ok item
AGRICULTURAL PROCESSED,STARCHY TUBER,-,TAPIOCA OF POTATOES,1,1436,1436,-,1436,1436,-,1436,1436,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,SUGAR,-,BEET SUGAR,3,871,865,37,829,920,36,847,893,0.0,0.249,1.500,0.771,G*,G,R,ok item
AGRICULTURAL PROCESSED,SUGAR,-,CANE MOLASSE,1,527,527,-,527,527,-,527,527,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,SUGAR,-,CANE SUGAR,4,1358,1724,669,202,1782,58,1300,1782,0.5,-1.138,2.319,0.001,G*,G,R,ok item
AGRICULTURAL PROCESSED,SUGAR,-,FRUCTOSE,1,1782,1782,-,1782,1782,-,1782,1782,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,SWEETS,-,CAKES AND CROISSANT**,12,1856,1640,653,1086,3570,333,1394,2144,0.4,1.330,4.323,0.073,G,G,G,ok item
AGRICULTURAL PROCESSED,SWEETS,-,COCOA CAKES AND CROISSANT**,9,3698,3469,1293,1887,5804,1117,2584,4655,0.3,0.281,1.793,0.711,G,G,G,ok item
AGRICULTURAL PROCESSED,"TOMATO PUREE,PEELED, CHOPPED",-,TOMATO PASTE,1,855,855,-,855,855,-,855,855,-,-,-,n.a,G*,R,R,ok item
AGRICULTURAL PROCESSED,"TOMATO PUREE,PEELED, CHOPPED",-,TOMATO PEELED,1,267,267,-,267,267,-,267,267,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,"TOMATO PUREE,PEELED, CHOPPED",-,TOMATO PUREE,1,713,713,-,713,713,-,713,713,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,TOMATO SAUCE,-,TOMATO & BASIL,4,148,148,3,145,150,3,145,150,0.0,0.000,1.000,0.999,Y,G,G,ok item
AGRICULTURAL PROCESSED,TOMATO SAUCE,-,TOMATO ARRABBIATA,4,155,155,5,148,162,5,152,158,0.0,0.000,1.721,0.995,Y,G,G,ok item
AGRICULTURAL PROCESSED,VEGETABLES CANNED* (corn),-,CORN CANNED*,2,807,807,1,806,807,1,806,807,0.0,0.000,1.000,n.a,R,n.a,R,typology
AGRICULTURAL PROCESSED,VEGETABLES FROZEN,-,BEANS (F),1,801,801,-,801,801,-,801,801,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,VEGETABLES FROZEN,-,MIXED VEGETABLES (F),1,339,339,-,339,339,-,339,339,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,VEGETABLES FROZEN,-,PEAS (F),1,850,850,-,850,850,-,850,850,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,VEGETABLES FROZEN,-,POTATOES (F),1,575,575,-,575,575,-,575,575,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,VEGETABLES FROZEN,-,SPINACH (F),1,834,834,-,834,834,-,834,834,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,VEGETABLES FROZEN,-,SWEET CORN (F),1,700,700,-,700,700,-,700,700,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,VEGETAL MILK* (soy milk),-,SOY MILK*,2,2030,2030,1733,297,3763,1733,1163,2896,0.9,0.000,1.000,n.a,G*,n.a,R,item matchin typology
AGRICULTURAL PROCESSED,VEGETAL PROTEINS,-,QUORNE,1,2000,2000,-,2000,2000,-,2000,2000,-,-,-,n.a,R,G,R,typology
AGRICULTURAL PROCESSED,VEGETAL PROTEINS,-,SOY BURGER,1,1053,1053,-,1053,1053,-,1053,1053,-,-,-,n.a,G*,G,R,ok item
AGRICULTURAL PROCESSED,VEGETAL PROTEINS,-,TOFU,2,1725,1725,799,926,2523,799,1325,2124,0.5,0.000,1.000,n.a,R,G,R,typology
AGRICULTURAL PROCESSED,WINE*,-,WINE*,4,601,524,156,487,869,31,497,628,0.3,1.084,2.273,0.037,Y,n.a,Y,item matching typology
AGRICULTURAL PROCESSED,YEAST COMPRESSED*,-,YEAST COMPRESSED*,1,51,51,-,51,51,-,51,51,-,-,-,n.a,R,n.a,R,item matching typology
ANIMAL HUSBANDRY,BEEF BONE FREE MEAT*,,BEEF BONE FREE MEAT*,25,16252,15139,6638,3856,26465,3717,13089,20852,0.4,-0.079,2.222,0.129,G,n.a,G,item matching typology
ANIMAL HUSBANDRY,BEEF CURED MEAT,,BEEF CURED MEAT,1,23799,23799,-,23799,23799,-,23799,23799,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,BEEF MEAT WITH BONE,,BEEF MEAT WITH BONE,1,10943,10943,-,10943,10943,-,10943,10943,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,BUTTER*,-,BUTTER*,18,5544,5659,2013,2686,9873,1569,3661,6868,0.4,0.391,2.260,0.362,G*,n.a,G,item matching typology
ANIMAL HUSBANDRY,CHEESE,-,CHEESE,17,5051,5253,1882,2455,8985,1347,3249,6263,0.4,0.381,2.135,0.277,G*,G,G,ok item
ANIMAL HUSBANDRY,CHEESE,-,CHEESE BLUE-VEINED,1,5060,5060,-,5060,5060,-,5060,5060,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,CHEESE,-,CHEESE GRATED,1,5060,5060,-,5060,5060,-,5060,5060,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,CHEESE,-,CREAM,6,3998,3839,1929,1983,7670,1268,2366,4548,0.5,0.788,2.559,0.338,Y,G,G,ok item
ANIMAL HUSBANDRY,CHEESE,-,GRAN MORAVIA,1,2067,2067,-,2067,2067,-,2067,2067,-,-,-,n.a,R,G,R,typology
ANIMAL HUSBANDRY,CHEESE,-,HARD AND SEMI-HARD CHEESE,2,12139,12139,4663,7476,16802,4663,9808,14471,0.4,0.000,1.000,n.a,R,G,R,typology
ANIMAL HUSBANDRY,CHEESE,-,MASCARPONE,1,6100,6100,-,6100,6100,-,6100,6100,-,-,-,n.a,R,G,R,typology
ANIMAL HUSBANDRY,CHEESE,-,MOZZARELLA,3,9672,9410,514,9215,10390,195,9313,9900,0.1,0.632,1.500,0.297,R,G,R,typology
ANIMAL HUSBANDRY,CHEESE,-,PARMIGIANO REGGIANO,1,10200,10200,-,10200,10200,-,10200,10200,-,-,-,n.a,R,G,R,typology
ANIMAL HUSBANDRY,CHEESE,-,RICOTTA,6,2590,2471,670,1628,3659,524,2181,3036,0.3,0.235,1.930,0.952,Y,G,G,ok item
ANIMAL HUSBANDRY,CHEESE,-,STRACCHINO,1,5600,5600,-,5600,5600,-,5600,5600,-,-,-,n.a,R,G,R,typology
ANIMAL HUSBANDRY,EDIBLE INSECTS* (mealworms),-,MEALWORMS*,1,4341,4341,-,4341,4341,-,4341,4341,-,-,-,n.a,R,n.a,R,item matching typology
ANIMAL HUSBANDRY,EGGS & DERIVATES,-,EGG YOLKS,1,3270,3270,-,3270,3270,-,3270,3270,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,EGGS & DERIVATES,-,EGGS,21,3361,2562,2835,296,13140,1207,1582,4483,0.8,1.976,7.231,0.001,G,G,R,ok item
ANIMAL HUSBANDRY,EGGS & DERIVATES,-,EGGS SHELLED,1,3632,3632,-,3632,3632,-,3632,3632,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,EQUINE MEAT,-,ASS MEAT,3,50524,50274,2852,47162,54135,3112,48718,52205,0.1,0.131,1.500,0.882,G*,G,R,ok item
ANIMAL HUSBANDRY,EQUINE MEAT,-,HINNY MEAT,3,50524,50274,2852,47162,54135,3112,48718,52205,0.1,0.131,1.500,0.882,G*,G,R,ok item
ANIMAL HUSBANDRY,EQUINE MEAT,-,HORSE MEAT,3,50524,50274,2852,47162,54135,3112,48718,52205,0.1,0.131,1.500,0.882,G*,G,R,ok item
ANIMAL HUSBANDRY,EQUINE MEAT,-,MULE MEAT,3,50524,50274,2852,47162,54135,3112,48718,52205,0.1,0.131,1.500,0.882,G*,G,R,ok item
ANIMAL HUSBANDRY,GOAT BONE FREE MEAT*,-,GOAT BONE FREE MEAT*,15,5225,4160,3643,1624,16188,1492,2784,6189,0.7,1.738,5.756,0.004,G*,n.a,R,item matching typology
ANIMAL HUSBANDRY,LAMB BONE FREE MEAT*,-,LAMB BONE FREE MEAT*,1,10412,10412,-,10412,10412,-,10412,10412,-,-,-,n.a,G*,n.a,R,item matching typology
ANIMAL HUSBANDRY,LAMB MEAT WITH BONE*,-,LAMB MEAT WITH BONE*,3,5235,4362,2439,2782,8561,1580,3572,6462,0.5,0.491,1.500,0.511,G*,n.a,R,item matching typology
ANIMAL HUSBANDRY,MILK,-,BUTTERED MILK,1,1599,1599,-,1599,1599,-,1599,1599,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,MILK,-,COW MILK,40,1237,1261,374,494,1814,323,1028,1590,0.3,-0.223,2.195,0.023,G,G,Y,ok item
ANIMAL HUSBANDRY,MILK,-,KEPHIR,1,1599,1599,-,1599,1599,-,1599,1599,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,MILK,-,MILK ACID,1,1599,1599,-,1599,1599,-,1599,1599,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,MILK,-,MILK CREAMY,1,1898,1898,-,1898,1898,-,1898,1898,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,MILK POWDER,-,MILK POWDER,20,4738,4750,1632,2294,8436,1243,3304,5852,0.3,0.409,2.509,0.447,G*,G,G,ok item
ANIMAL HUSBANDRY,"OFFAL, FAT, LIVER",-,ASS OFFAL,1,3152,3152,-,3152,3152,-,3152,3152,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,"OFFAL, FAT, LIVER",-,BEEF LIVER,1,7746,7746,-,7746,7746,-,7746,7746,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,"OFFAL, FAT, LIVER",-,BEEF OFFAL,1,11155,11155,-,11155,11155,-,11155,11155,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,"OFFAL, FAT, LIVER",-,GOAT OFFAL,1,3152,3152,-,3152,3152,-,3152,3152,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,"OFFAL, FAT, LIVER",-,HINNY OFFAL,1,3152,3152,-,3152,3152,-,3152,3152,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,"OFFAL, FAT, LIVER",-,HORSE OFFAL,1,3152,3152,-,3152,3152,-,3152,3152,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,"OFFAL, FAT, LIVER",-,MULE OFFAL,1,3152,3152,-,3152,3152,-,3152,3152,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,"OFFAL, FAT, LIVER",-,PORK FAT,1,4323,4323,-,4323,4323,-,4323,4323,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,"OFFAL, FAT, LIVER",-,PORK LIVER,1,684,684,-,684,684,-,684,684,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,"OFFAL, FAT, LIVER",-,PORK OFFAL,1,1254,1254,-,1254,1254,-,1254,1254,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,"OFFAL, FAT, LIVER",-,POULTRY FAT,1,4323,4323,-,4323,4323,-,4323,4323,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,"OFFAL, FAT, LIVER",-,SHEEP OFFAL,1,3152,3152,-,3152,3152,-,3152,3152,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,PORK BONE FREE MEAT*,-,PORK BONE FREE MEAT*,21,6820,6299,2312,4083,12271,1674,4940,7973,0.3,0.954,3.186,0.027,G*,n.a,Y,item matching typology
ANIMAL HUSBANDRY,PORK CURED MEAT,-,BACON,1,6116,6116,-,6116,6116,-,6116,6116,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,PORK CURED MEAT,-,CURED HAM BONE FREE,2,9850,9850,750,9100,10600,750,9475,10225,0.1,0.000,1.000,n.a,R,G,R,typology
ANIMAL HUSBANDRY,PORK CURED MEAT,-,CURED HAM WITH BONE,1,5798,5798,-,5798,5798,-,5798,5798,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,PORK CURED MEAT,-,CURED PORK BONE FREE,1,6238,6238,-,6238,6238,-,6238,6238,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,PORK CURED MEAT,-,CURED SHOULDERS WITH BONE,1,5798,5798,-,5798,5798,-,5798,5798,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,PORK CURED MEAT,-,SAUSAGES,1,15600,15600,-,15600,15600,-,15600,15600,-,-,-,n.a,R,R,R,typology
ANIMAL HUSBANDRY,PORK MEAT WITH BONE,-,FRESH HAM WITH BONE,1,5677,5677,-,5677,5677,-,5677,5677,-,-,-,n.a,G*,G,R,ok item
ANIMAL HUSBANDRY,PORK MEAT WITH BONE,-,FRESH SHOULDERS WITH BONE,1,5677,5677,-,5677,5677,-,5677,5677,-,-,-,n.a,G*,G,R,ok item
